,ratio1,ratio2,ratio3,ratio4,ratio5,status
1988,1.12,0.84,0.04,0.1,0.03,0
1989,1.88,1.47,0.09,0.24,0.1,0
1990,2.42,2.4,0.16,0.31,0.14,0
1991,0.39,0.39,0.01,0.0,0.1,0
1992,0.73,0.73,0.04,0.04,0.65,0
1993,1.24,0.73,0.03,0.07,0.05,0
1994,0.04,0.04,-0.33,-1.82,-1.04,0
1995,0.76,0.65,0.05,0.1,0.0,0
1996,0.76,0.42,0.01,0.0,0.13,0
1997,0.93,0.93,-0.01,-0.48,0.0,1
1998,2.48,1.94,-0.11,-1.0,-0.06,0
1999,1.12,0.99,0.03,0.44,0.03,0
2000,0.7,0.7,0.02,0.07,0.05,0
2001,1.15,0.85,0.04,0.0,0.07,0
2002,0.99,0.61,0.03,0.42,0.06,0
2003,1.23,0.33,-0.01,-0.12,0.0,0
2004,1.09,0.86,-0.09,-1.97,-0.18,1
2005,1.25,1.25,0.16,0.84,0.13,0
2006,1.08,1.08,0.08,0.45,0.02,0
2007,2.35,1.47,0.04,0.05,0.28,0
2008,1.62,1.11,0.18,0.38,0.18,0
2009,1.54,0.81,0.01,0.05,0.01,0
2010,0.86,0.86,0.09,0.33,0.03,1
2011,1.04,0.34,0.04,0.08,0.04,0
2012,0.89,0.86,-0.27,-2.28,-0.22,1
2013,1.1,0.36,0.11,0.57,0.04,0
2014,3.48,3.47,0.04,0.05,0.06,0
2015,0.96,0.58,0.09,0.3,0.06,0
2016,0.86,0.75,0.1,0.28,0.07,0
2017,1.23,1.05,0.01,0.29,0.01,0
2018,2.82,2.82,-0.08,-0.41,-0.2,1
2019,1.12,0.47,0.02,0.02,0.02,0
2020,0.44,0.39,-0.09,-0.19,-0.23,0
2021,0.97,0.87,0.03,0.14,0.06,0
2022,1.15,1.05,0.08,0.45,0.08,0
2023,1.23,1.17,0.29,0.53,0.22,0
2024,1.38,1.38,0.23,0.57,0.09,0
2025,1.21,1.21,0.04,0.1,0.16,0
2026,1.02,1.01,0.07,0.26,0.16,0
2027,0.74,0.58,-0.06,-1.21,0.01,0
2028,1.47,1.47,-0.14,-0.41,-0.01,0
2029,0.9,0.77,0.12,0.73,0.03,0
2030,1.05,1.05,0.16,0.55,0.12,0
2031,0.7,0.7,-0.28,-1.34,-0.04,1
2032,0.52,0.35,-0.4,-0.41,-0.08,0
2033,0.82,0.61,0.04,-0.82,0.13,0
2034,0.98,0.97,0.05,0.1,0.13,0
2035,1.83,1.83,-0.05,-0.16,-0.03,0
2036,1.04,0.19,0.02,0.02,0.03,0
2037,1.73,1.28,0.07,0.05,0.09,0
2038,8.86,8.49,0.01,-0.1,0.0,0
2039,1.05,1.05,0.08,0.28,0.05,1
2040,0.31,0.17,0.08,0.22,0.17,0
2041,0.89,0.56,-0.54,-1.1,0.05,1
2042,1.26,1.02,0.12,0.27,0.09,0
2043,1.27,1.21,0.24,0.85,0.17,0
2044,1.12,1.12,0.13,0.83,0.03,0
2045,2.49,2.31,0.18,0.23,0.21,0
2046,0.95,0.46,0.03,0.04,0.03,0
2047,1.15,0.97,0.02,0.06,0.01,0
2048,1.56,1.3,0.08,0.12,0.06,0
2049,1.09,0.79,0.03,0.2,0.02,0
2050,1.78,1.68,-0.01,-0.09,0.01,0
2051,2.34,1.88,0.2,0.24,0.15,0
2052,1.69,1.57,0.14,0.32,0.11,0
2053,0.98,0.83,0.01,0.05,0.02,0
2054,0.95,0.11,-0.15,-1.06,-0.24,0
2055,1.17,0.56,0.02,0.15,0.04,0
2056,0.37,0.15,-0.1,-0.48,-0.32,1
2057,1.36,0.31,0.08,0.21,0.02,0
2058,2.05,2.02,0.04,0.05,0.07,0
2059,1.13,1.06,0.03,0.02,0.04,0
2060,2.49,2.22,0.1,0.12,0.09,0
2061,1.25,1.24,0.08,0.38,0.07,0
2062,1.14,1.09,0.07,0.09,0.03,0
2063,0.98,0.95,0.05,0.41,0.08,0
2064,0.88,0.88,0.03,0.02,0.26,0
2065,1.01,0.37,0.01,-0.16,0.11,0
2066,3.04,3.04,-0.02,-0.13,0.14,0
2067,1.29,1.29,-0.05,-0.77,-0.04,0
2068,0.69,0.69,0.08,0.13,0.14,0
2069,1.37,0.83,0.06,0.33,0.07,0
2070,0.95,0.95,0.11,0.27,0.1,0
2071,1.09,0.41,0.03,0.06,0.06,0
2072,1.28,0.84,-0.06,-0.15,0.01,0
2073,1.1,0.97,0.03,0.05,0.02,0
2074,1.02,1.02,-0.02,-0.09,-0.01,0
2075,1.06,1.06,0.05,0.01,0.12,0
2076,1.52,1.38,0.04,0.11,0.04,0
